open,high,low,close,volume,number_of_trades,vol_ma,rsi,atr,rsi_lag1,vol_ma_lag1,price_roc,target
8675.72,8800.95,8647.69,8669.94,1914.756109,15187,1394.3636411,33.57279283902071,85.8878571428569,44.356183191134605,1333.162547,-0.6422201288565743,0
8669.55,8671.5,8509.46,8570.28,2240.539901,18265,1312.0862447000002,33.792792792793165,79.22499999999998,51.60295430565691,1268.8527706500001,-1.1494889237987804,0
8570.0,8608.33,8450.0,8516.45,2853.848165,26197,1411.2909848,29.037098359807743,85.29642857142855,33.792792792793165,1312.0862447000002,-1.6629582459150472,0
8516.45,8516.89,8321.5,8470.0,4800.00487,35897,1613.7039043,28.2998411537785,94.03857142857136,29.037098359807743,1411.2909848,-2.3235914473752506,0
8436.98,8488.09,8342.01,8398.68,2361.014961,23206,1548.2177553,24.753071322408886,106.91642857142857,23.65983923465629,1465.9051244,-1.2830518674540214,0
8398.68,8477.75,8330.0,8473.66,2563.325674,22201,1637.2855631500001,33.07004919843361,111.34999999999998,24.753071322408886,1548.2177553,-0.6700410980421512,0
8471.88,8558.81,8435.0,8536.82,2004.847894,19712,1703.2772290500002,39.83320095313733,109.2464285714285,33.07004919843361,1637.2855631500001,1.2307557307397188,0
8470.52,8474.39,8080.8,8115.82,6943.996577,56694,2002.2903601499997,32.162077535763856,120.17357142857112,51.099576363084246,1713.9998220500001,-5.233302195235878,0
8115.66,8115.66,7780.4,7988.13,10003.219,70024,2469.18157215,24.386604774535755,138.19785714285686,32.162077535763856,2002.2903601499997,-5.943102861576833,0
7989.98,8067.99,7968.0,8026.47,3396.976353,26238,2527.00339475,27.870284385027674,141.2821428571426,24.386604774535755,2469.18157215,-5.246549953369762,0
8042.1,8042.1,7879.0,7895.93,2899.989591,26373,2384.8625172,26.20587609866739,142.5328571428569,27.37951974524651,2479.8632811499997,-1.154212562890189,0
7895.91,8007.28,7878.22,7973.23,3238.013425,25188,2454.5907756,31.84305089664467,141.31714285714256,26.20587609866739,2384.8625172,-0.6633052886262703,0
7953.78,7953.81,7830.0,7877.93,2859.770911,27542,2515.70445435,20.81328903654483,135.4021428571426,26.71129152217351,2428.8998673,-0.22796554680702963,0
7877.68,7916.04,7800.0,7892.6,2927.74927,24506,2615.48418325,23.24411912611052,137.83499999999978,20.81328903654483,2515.70445435,-1.011258925178371,0
7893.1,7959.3,7887.9,7940.06,3017.647634,21701,2695.697126,19.627498781082338,134.54285714285697,23.24411912611052,2615.48418325,-0.1736261719137877,0
7908.97,7927.0,7606.48,7621.24,8843.817373,66679,3209.05486895,32.786474326034835,110.58214285714283,39.96089453745562,2830.0214167999998,-4.4367008690832765,0
7621.24,7736.0,7617.59,7669.05,4235.765658,31927,3360.7323695500004,30.20692347735556,109.82142857142857,32.786474326034835,3209.05486895,-3.425969417373631,0
7667.39,7686.8,7531.11,7621.46,4889.504807,42852,3258.0077810499997,29.13648745339742,116.30785714285717,30.20692347735556,3360.7323695500004,-3.6558264417886677,0
7769.56,7800.1,7627.69,7679.99,3363.002004,28580,2123.2701386500003,43.02858389701068,90.84285714285723,58.021861443158386,2166.9083213500003,-1.4292773396138103,0
7679.13,7710.31,7572.78,7625.05,4199.584166,31611,2088.7741066000003,38.814029607722645,95.98428571428583,43.02858389701068,2123.2701386500003,-1.7223290559734372,0
7627.97,7774.78,7622.01,7740.0,3369.188645,22589,2158.3225012499997,43.28702990729046,99.17357142857152,38.814029607722645,2088.7741066000003,-0.4081464592136652,0
7783.06,7896.7,7649.19,7721.36,3350.592608,30141,2090.1561270499997,48.33254130209931,115.78499999999998,53.774222115485635,2044.8170762999998,-0.9327616158972485,0
7831.96,7849.0,7700.0,7745.46,2522.837891,22009,1359.1107018999999,46.979033125180905,69.92428571428556,61.65342456503637,1401.4282396,-0.20910394514596087,0
7745.5,7747.51,7632.42,7715.88,2891.171192,25072,1399.91183075,44.07290077828622,73.7885714285713,46.979033125180905,1359.1107018999999,-0.9613928258787929,0
7715.68,7717.9,7565.25,7678.7,2622.092606,25275,1471.31088955,40.111926469498165,78.41499999999984,44.07290077828622,1399.91183075,-1.9512201350697422,0
7691.47,7696.09,7623.0,7635.64,1608.073835,14491,1372.29176215,28.393631260363293,76.83214285714283,37.95846403017816,1392.4672353,-0.5607720056780341,0
7634.45,7647.4,7444.58,7582.15,4895.752427,42556,1555.1220729000001,27.042505422580817,87.29357142857141,28.393631260363293,1372.29176215,-1.46448789058643,0
7716.0,7807.0,7699.21,7786.7,1675.467164,17389,1622.17008995,52.139984598271596,96.43571428571431,42.76681286549712,1590.4495134000001,1.4177145945805103,0
7757.68,7849.99,7752.15,7786.7,2474.176383,16992,1677.2341372000003,57.69514951321273,87.21357142857148,51.22349102773246,1607.8554797,0.24253784182517446,0
7782.79,7940.0,7782.61,7911.52,3867.199455,26995,1793.6185302500003,69.50748173888374,85.09071428571426,60.00684150513111,1635.4635731,1.602989713228986,0
7912.7,7993.32,7911.52,7940.31,2929.120751,24744,1882.94154185,78.36725573080565,85.71285714285705,69.50748173888374,1793.6185302500003,2.207413738508568,0
7928.0,8094.7,7890.0,8042.79,3495.391857,31473,1520.68266815,77.47598924318082,76.25285714285708,69.16073220857417,1426.9839593,1.1651337834710285,0
8055.33,8071.62,7928.01,7937.85,2426.610745,21574,1604.7929881,62.74065685164212,81.07642857142848,78.33534426488907,1567.2358090499997,-1.304771105549185,0
7933.1,7939.28,7870.0,7881.17,1683.557851,15684,1177.0240157,46.33373821860732,78.62642857142853,51.20679258812604,1160.0117864,-0.5846721294932133,0
7906.53,7926.8,7825.0,7919.43,1875.922401,17244,970.73943665,44.7618599397591,64.30142857142866,36.28839395262753,942.10005895,-0.043544771598202914,0
7919.1,7919.58,7796.0,7829.68,1664.448125,16989,932.63130565,37.68075749772196,69.21071428571433,44.7618599397591,970.73943665,-1.4158670281146257,0
7829.15,7829.15,7751.0,7816.58,1892.166113,16549,1026.22155075,38.711384264723804,71.63714285714293,37.68075749772196,932.63130565,-1.1023936860031558,0
